Wavelength_nm,n,k
658,2.067839,3.63427E-2
659,2.067436,3.6193E-2
660,2.067035,3.60446E-2
661,2.066637,3.58976E-2
662,2.066242,3.5752E-2
663,2.065849,3.56077E-2
664,2.065459,3.54647E-2
665,2.065072,3.53229E-2
666,2.064688,3.51825E-2
667,2.064306,3.50432E-2
668,2.063927,3.49052E-2
669,2.06355,3.47685E-2
670,2.063176,3.46329E-2
671,2.062805,3.44985E-2
672,2.062436,3.43652E-2
673,2.062069,3.42332E-2
674,2.061705,3.41022E-2
675,2.061344,3.39724E-2
676,2.060985,3.38436E-2
677,2.060628,3.3716E-2
678,2.060274,3.35894E-2
679,2.059922,3.34639E-2
680,2.059572,3.33395E-2
681,2.059224,3.32161E-2
682,2.058879,3.30937E-2
683,2.058537,3.29723E-2
684,2.058196,3.28519E-2
685,2.057857,3.27325E-2
686,2.057521,3.2614E-2
687,2.057187,3.24965E-2
688,2.056855,3.238E-2
689,2.056526,3.22644E-2
690,2.056198,3.21497E-2
691,2.055872,3.20359E-2
692,2.055549,3.19231E-2
693,2.055228,3.18111E-2
694,2.054908,3.17E-2
695,2.054591,3.15897E-2
696,2.054276,3.14803E-2
697,2.053962,3.13718E-2
698,2.053651,3.12641E-2
699,2.053341,3.11572E-2
700,2.053034,3.10512E-2
701,2.052728,3.09459E-2
702,2.052425,3.08415E-2
703,2.052123,3.07378E-2
704,2.051823,3.06349E-2
705,2.051525,3.05328E-2
706,2.051228,3.04315E-2
707,2.050934,3.03309E-2
708,2.050641,3.0231E-2
709,2.05035,3.01319E-2
710,2.050061,3.00335E-2
711,2.049774,2.99358E-2
712,2.049488,2.98388E-2
713,2.049204,2.97426E-2
714,2.048922,2.9647E-2
715,2.048642,2.95521E-2
716,2.048363,2.94579E-2
717,2.048086,2.93644E-2
718,2.04781,2.92715E-2
719,2.047536,2.91793E-2
720,2.047264,2.90877E-2
721,2.046993,2.89968E-2
722,2.046724,2.89065E-2
723,2.046456,2.88168E-2
724,2.04619,2.87278E-2
725,2.045926,2.86394E-2
726,2.045663,2.85516E-2
727,2.045402,2.84644E-2
728,2.045142,2.83777E-2
729,2.044884,2.82917E-2
730,2.044627,2.82063E-2
731,2.044371,2.81214E-2
732,2.044118,2.80371E-2
733,2.043865,2.79534E-2
734,2.043614,2.78702E-2
735,2.043364,2.77876E-2
736,2.043116,2.77055E-2
737,2.04287,2.7624E-2
738,2.042624,2.7543E-2
739,2.04238,2.74625E-2
740,2.042138,2.73826E-2
741,2.041896,2.73032E-2
742,2.041656,2.72243E-2
743,2.041418,2.71459E-2
744,2.041181,2.7068E-2
745,2.040945,2.69906E-2
746,2.04071,2.69137E-2
747,2.040477,2.68373E-2
748,2.040245,2.67614E-2
749,2.040014,2.66859E-2
750,2.039784,2.66109E-2
751,2.039556,2.65365E-2
752,2.039329,2.64624E-2
753,2.039103,2.63889E-2
754,2.038879,2.63157E-2
755,2.038656,2.62431E-2
756,2.038433,2.61709E-2
757,2.038213,2.60991E-2
758,2.037993,2.60278E-2
759,2.037774,2.59569E-2
760,2.037557,2.58864E-2
761,2.037341,2.58164E-2
762,2.037126,2.57468E-2
763,2.036912,2.56776E-2
764,2.036699,2.56088E-2
765,2.036487,2.55405E-2
766,2.036277,2.54725E-2
767,2.036067,2.5405E-2
768,2.035859,2.53378E-2
769,2.035652,2.52711E-2
770,2.035446,2.52047E-2
771,2.035241,2.51387E-2
772,2.035037,2.50731E-2
773,2.034834,2.50079E-2
774,2.034632,2.49431E-2
775,2.034431,2.48786E-2
776,2.034231,2.48146E-2
777,2.034033,2.47509E-2
778,2.033835,2.46875E-2
779,2.033638,2.46245E-2
780,2.033442,2.45619E-2
781,2.033248,2.44996E-2
782,2.033054,2.44377E-2
783,2.032861,2.43762E-2
784,2.032669,2.43149E-2
785,2.032479,2.42541E-2
786,2.032289,2.41935E-2
787,2.0321,2.41333E-2
788,2.031912,2.40735E-2
789,2.031725,2.40139E-2
790,2.031539,2.39547E-2
791,2.031354,2.38958E-2
792,2.03117,2.38373E-2
793,2.030987,2.3779E-2
794,2.030804,2.37211E-2
795,2.030623,2.36635E-2
796,2.030442,2.36062E-2
797,2.030263,2.35493E-2
798,2.030084,2.34926E-2
799,2.029906,2.34362E-2
800,2.029729,2.33801E-2
801,2.029553,2.33244E-2
802,2.029378,2.32689E-2
803,2.029203,2.32137E-2
804,2.02903,2.31588E-2
805,2.028857,2.31042E-2
806,2.028685,2.30499E-2
807,2.028514,2.29959E-2
808,2.028344,2.29422E-2
809,2.028174,2.28887E-2
810,2.028006,2.28355E-2
811,2.027838,2.27826E-2
812,2.027671,2.273E-2
813,2.027505,2.26776E-2
814,2.027339,2.26255E-2
815,2.027175,2.25737E-2
816,2.027011,2.25221E-2
817,2.026848,2.24708E-2
818,2.026686,2.24198E-2
819,2.026524,2.2369E-2
820,2.026363,2.23185E-2
821,2.026203,2.22682E-2
822,2.026044,2.22182E-2
823,2.025886,2.21684E-2
824,2.025728,2.21189E-2
825,2.025571,2.20696E-2
826,2.025415,2.20206E-2
827,2.025259,2.19718E-2
828,2.025104,2.19233E-2
829,2.02495,2.1875E-2
830,2.024797,2.18269E-2
831,2.024644,2.17791E-2
832,2.024492,2.17315E-2
833,2.024341,2.16841E-2
834,2.02419,2.1637E-2
835,2.02404,2.15901E-2
836,2.023891,2.15434E-2
837,2.023743,2.14969E-2
838,2.023595,2.14507E-2
839,2.023448,2.14047E-2
840,2.023301,2.13589E-2
841,2.023155,2.13133E-2
842,2.02301,2.1268E-2
843,2.022866,2.12228E-2
844,2.022722,2.11779E-2
845,2.022579,2.11332E-2
