Wavelength_nm,n,k
10985.0,1.54212,0.0165
11079.0,1.53927,0.0137
11174.0,1.53785,0.0128
11272.0,1.53791,0.0125
11370.0,1.53686,0.0124
11471.0,1.53642,0.012
11573.0,1.53593,0.0122
11678.0,1.53504,0.0124
11784.0,1.53307,0.0126
11892.0,1.53267,0.0131
12002.0,1.53579,0.0116
12114.0,1.53733,0.00779
12229.0,1.53473,0.00406
12345.0,1.53192,0.00319
12464.0,1.52925,0.00404
12585.0,1.52563,0.00393
12708.0,1.52309,0.00533
12834.0,1.52083,0.00553
12962.0,1.51979,0.00486
13093.0,1.51941,0.00532
13227.0,1.51695,0.0063
13363.0,1.51318,0.00678
13502.0,1.51087,0.00851
13645.0,1.50841,0.0115
13790.0,1.50402,0.0132
13938.0,1.49857,0.018
14089.0,1.49562,0.0282
14244.0,1.49796,0.0374
14403.0,1.50559,0.0432
14564.0,1.51563,0.0438
14730.0,1.52412,0.0389
14899.0,1.5234,0.0335
15072.0,1.51161,0.0321
15250.0,1.50001,0.0401
15431.0,1.49916,0.0565
15617.0,1.51306,0.0718
15808.0,1.52972,0.0787
16003.0,1.54134,0.0805
16203.0,1.55847,0.0809
16408.0,1.58274,0.0723
16618.0,1.59725,0.0505
16834.0,1.59202,0.0297
17056.0,1.57978,0.0201
17283.0,1.57125,0.0163
17517.0,1.56804,0.0134
17757.0,1.56479,0.0107
18003.0,1.55895,0.01
18257.0,1.55685,0.0137
18518.0,1.55505,0.016
18786.0,1.55304,0.0125
19062.0,1.55,0.00981
19347.0,1.54672,0.00757
19640.0,1.54316,0.00541
19942.0,1.54354,0.0056
