wl,n
1.36344,0.25566
1.36688,0.25378
1.37032,0.25200
1.37376,0.25032
1.37720,0.24872
1.38065,0.24720
1.38409,0.24577
1.38753,0.24440
1.39098,0.24311
1.39442,0.24189
1.39787,0.24072
1.40131,0.23962
1.40476,0.23858
1.40820,0.23759
1.41165,0.23665
1.41509,0.23576
1.41854,0.23491
1.42199,0.23411
1.42543,0.23336
1.42888,0.23264
1.43233,0.23197
1.43578,0.23133
1.43922,0.23072
1.44267,0.23015
1.44612,0.22962
1.44957,0.22911
1.45302,0.22863
1.45647,0.22819
1.45992,0.22777
1.46337,0.22738
1.46683,0.22701
1.47028,0.22667
1.47373,0.22635
1.47718,0.22606
1.48064,0.22579
1.48409,0.22554
1.48754,0.22531
1.49100,0.22510
1.49445,0.22491
1.49791,0.22474
1.50136,0.22458
1.50482,0.22445
1.50828,0.22433
1.51173,0.22423
1.51519,0.22414
1.51865,0.22407
1.52211,0.22401
1.52556,0.22397
1.52902,0.22395
1.53248,0.22394
1.53594,0.22394
1.53940,0.22395
1.54287,0.22398
1.54633,0.22401
1.54979,0.22406
1.55325,0.22413
1.55671,0.22420
1.56018,0.22429
1.56364,0.22438
1.56711,0.22449
1.57057,0.22461
1.57404,0.22473
1.57750,0.22487
1.58097,0.22502
1.58443,0.22517
1.58790,0.22534
1.59137,0.22551
1.59484,0.22569
1.59831,0.22589
1.60178,0.22609
1.60525,0.22629
1.60872,0.22651
1.61219,0.22673
1.61566,0.22696
1.61913,0.22720
1.62260,0.22745
1.62608,0.22770
1.62955,0.22796
1.63302,0.22823
1.63650,0.22851
1.63997,0.22879
1.64345,0.22908
1.64693,0.22937
1.65040,0.22967
1.65388,0.22998
1.65736,0.23029
1.66084,0.23061
1.66432,0.23094
1.66780,0.23127
1.67128,0.23160
1.67476,0.23195
1.67824,0.23229
1.68172,0.23265
1.68520,0.23301
1.68869,0.23337

wl,k
0.19146,0.59569
0.19305,0.60194
0.19465,0.60710
0.19625,0.61126
0.19784,0.61447
0.19944,0.61682
0.20104,0.61839
0.20263,0.61925
0.20423,0.61948
0.20583,0.61915
0.20742,0.61834
0.20902,0.61710
0.21062,0.61551
0.21222,0.61363
0.21381,0.61152
0.21541,0.60923
0.21701,0.60682
0.21860,0.60433
0.22020,0.60180
0.22180,0.59928
0.22340,0.59679
0.22499,0.59437
0.22659,0.59203
0.22819,0.58980
0.22979,0.58767
0.23139,0.58566
0.23298,0.58374
0.23458,0.58192
0.23618,0.58015
0.23778,0.57840
0.23938,0.57661
0.24097,0.57473
0.24257,0.57267
0.24417,0.57033
0.24577,0.56760
0.24737,0.56436
0.24897,0.56046
0.25057,0.55577
0.25216,0.55012
0.25376,0.54335
0.25536,0.53532
0.25696,0.52590
0.25856,0.51496
0.26016,0.50245
0.26176,0.48832
0.26336,0.47261
0.26496,0.45539
0.26656,0.43680
0.26815,0.41703
0.26975,0.39631
0.27135,0.37491
0.27295,0.35312
0.27455,0.33122
0.27615,0.30950
0.27775,0.28820
0.27935,0.26754
0.28095,0.24770
0.28255,0.22882
0.28415,0.21100
0.28575,0.19431
0.28735,0.17876
0.28895,0.16437
0.29055,0.15112
0.29215,0.13897
0.29375,0.12787
0.29535,0.11776
0.29695,0.10859
0.29855,0.10030
0.30015,0.09282
0.30175,0.08609
0.30335,0.08005
0.30495,0.07464
0.30655,0.06982
0.30815,0.06553
0.30975,0.06173
0.31135,0.05837
0.31295,0.05542
0.31455,0.05284
0.31615,0.05060
0.31775,0.04868
0.31935,0.04703
0.32095,0.04550
0.32255,0.04403
0.32416,0.04260
0.32576,0.04122
0.32736,0.03989
0.32896,0.03861
0.33056,0.03737
0.33216,0.03617
0.33376,0.03502
0.33536,0.03391
0.33696,0.03284
0.33856,0.03180
0.34016,0.03081
0.34176,0.02985
0.34336,0.02893
0.34497,0.02804
0.34657,0.02718
0.34817,0.02635
0.34977,0.02556
0.35137,0.02479
0.35297,0.02406
0.35457,0.02335
0.35617,0.02266
0.35777,0.02200
0.35938,0.02137
0.36098,0.02076
0.36258,0.02017
0.36418,0.01961
0.36578,0.01907
0.36738,0.01854
0.36898,0.01804
0.37058,0.01756
0.37219,0.01709
0.37379,0.01664
0.37539,0.01621
0.37699,0.01580
0.37859,0.01540
0.38019,0.01502
0.38179,0.01465
0.38339,0.01430
0.38500,0.01396
0.38660,0.01363
0.38820,0.01332
0.38980,0.01301
0.39140,0.01272
0.39300,0.01244
0.39460,0.01218
0.39621,0.01192
0.39781,0.01167
0.39941,0.01144
0.40101,0.01121
0.40261,0.01099
0.40421,0.01078
0.40581,0.01058
0.40742,0.01039
0.40902,0.01021
0.41062,0.01003
0.41222,0.00986
0.41382,0.00970
0.41542,0.00955
0.41702,0.00940
0.41863,0.00926
0.42023,0.00912
0.42183,0.00899
0.42343,0.00887
0.42503,0.00875
0.42663,0.00864
0.42823,0.00853
0.42984,0.00843
0.43144,0.00834
0.43304,0.00824
0.43464,0.00816
0.43624,0.00807
0.43784,0.00800
0.43944,0.00792
0.44105,0.00785
0.44265,0.00779
0.44425,0.00773
0.44585,0.00767
0.44745,0.00761
0.44905,0.00756
0.45065,0.00751
0.45225,0.00747
0.45386,0.00743
0.45546,0.00739
0.45706,0.00735
0.45866,0.00732
0.46026,0.00729
0.46186,0.00727
0.46346,0.00724
0.46506,0.00722
0.46667,0.00720
0.46827,0.00719
0.46987,0.00717
0.47147,0.00716
0.47307,0.00715
0.47467,0.00715
0.47627,0.00714
0.47787,0.00714
0.47947,0.00714
0.48107,0.00714
0.48267,0.00714
0.48428,0.00715
0.48588,0.00715
0.48748,0.00716
0.48908,0.00718
0.49068,0.00719
0.49228,0.00720
0.49388,0.00722
0.49548,0.00724
0.49708,0.00725
0.49868,0.00728
0.50028,0.00730
0.50188,0.00732
0.50348,0.00735
0.50508,0.00737
0.50668,0.00740
0.50828,0.00743
0.50989,0.00746
0.51149,0.00749
0.51309,0.00753
0.51469,0.00756
0.51629,0.00760
0.51789,0.00764
0.51949,0.00767
0.52109,0.00771
0.52269,0.00775
0.52429,0.00780
0.52589,0.00784
0.52749,0.00788
0.52909,0.00793
0.53069,0.00797
0.53229,0.00802
0.53389,0.00807
0.53549,0.00812
0.53709,0.00817
0.53868,0.00822
0.54028,0.00828
0.54188,0.00833
0.54348,0.00838
0.54508,0.00844
0.54668,0.00850
0.54828,0.00855
0.54988,0.00861
0.55148,0.00867
0.55308,0.00873
0.55468,0.00880
0.55628,0.00886
0.55788,0.00892
0.55948,0.00898
0.56107,0.00905
0.56267,0.00911
0.56427,0.00918
0.56587,0.00925
0.56747,0.00932
0.56907,0.00939
0.57067,0.00946
0.57227,0.00953
0.57386,0.00960
0.57546,0.00967
0.57706,0.00975
0.57866,0.00982
0.58026,0.00990
0.58186,0.00997
0.58345,0.01005
0.58505,0.01013
0.58665,0.01021
0.58825,0.01029
0.58985,0.01037
0.59144,0.01045
0.59304,0.01053
0.59464,0.01061
0.59624,0.01070
0.59783,0.01078
0.59943,0.01087
0.60103,0.01095
0.60263,0.01104
0.60422,0.01113
0.60582,0.01121
0.60742,0.01130
0.60902,0.01139
0.61061,0.01148
0.61221,0.01158
0.61381,0.01167
0.61540,0.01176
0.61700,0.01185
0.61860,0.01195
0.62019,0.01205
0.62179,0.01214
0.62339,0.01224
0.62498,0.01234
0.62658,0.01244
0.62818,0.01253
0.62977,0.01264
0.63137,0.01274
0.63296,0.01284
0.63456,0.01294
0.63616,0.01304
0.63775,0.01315
0.63935,0.01325
0.64094,0.01336
0.64254,0.01347
0.64413,0.01358
0.64573,0.01368
0.64732,0.01379
0.64892,0.01390
0.65051,0.01402
0.65211,0.01413
0.65370,0.01424
0.65530,0.01435
0.65689,0.01447
0.65849,0.01458
0.66008,0.01470
0.66168,0.01482
0.66327,0.01493
0.66487,0.01505
0.66646,0.01517
0.66805,0.01529
0.66965,0.01541
0.67124,0.01553
0.67284,0.01566
0.67443,0.01578
0.67602,0.01590
0.67762,0.01603
0.67921,0.01616
0.68080,0.01628
0.68240,0.01641
0.68399,0.01654
0.68558,0.01667
0.68718,0.01680
0.68877,0.01693
0.69036,0.01707
0.69196,0.01720
0.69355,0.01733
0.69514,0.01747
0.69673,0.01760
0.69832,0.01774
0.69992,0.01788
0.70151,0.01802
0.70310,0.01816
0.70469,0.01830
0.70628,0.01844
0.70788,0.01859
0.70947,0.01873
0.71106,0.01887
0.71265,0.01902
0.71424,0.01917
0.71583,0.01931
0.71742,0.01946
0.71902,0.01961
0.72061,0.01976
0.72220,0.01991
0.72379,0.02007
0.72538,0.02022
0.72697,0.02038
0.72856,0.02053
0.73015,0.02069
0.73174,0.02085
0.73333,0.02100
0.73492,0.02117
0.73651,0.02133
0.73810,0.02149
0.73969,0.02165
0.74128,0.02182
0.74287,0.02198
0.74446,0.02215
0.74604,0.02231
0.74763,0.02248
0.74922,0.02265
0.75081,0.02282
0.75240,0.02299
0.75399,0.02317
0.75558,0.02334
0.75716,0.02352
0.75875,0.02369
0.76034,0.02387
0.76193,0.02405
0.76352,0.02423
0.76510,0.02441
0.76669,0.02459
0.76828,0.02477
0.76987,0.02496
0.77145,0.02515
0.77304,0.02533
0.77463,0.02552
0.77621,0.02571
0.77780,0.02590
0.77939,0.02609
0.78097,0.02628
0.78256,0.02648
0.78414,0.02668
0.78573,0.02687
0.78732,0.02707
0.78890,0.02727
0.79049,0.02747
0.79207,0.02767
0.79366,0.02788
0.79524,0.02808
0.79683,0.02829
0.79841,0.02849
0.80000,0.02870
0.80158,0.02891
0.80317,0.02913
0.80475,0.02934
0.80633,0.02955
0.80792,0.02977
0.80950,0.02999
0.81109,0.03020
0.81267,0.03042
0.81425,0.03064
0.81584,0.03087
0.81742,0.03109
0.81900,0.03132
0.82058,0.03154
0.82217,0.03177
0.82375,0.03200
0.82533,0.03224
0.82691,0.03247
0.82850,0.03270
0.83008,0.03294
0.83166,0.03318
0.83324,0.03342
0.83482,0.03366
0.83641,0.03390
0.83799,0.03415
0.83957,0.03439
0.84115,0.03464
0.84273,0.03489
0.84431,0.03514
0.84589,0.03539
0.84747,0.03565
0.84905,0.03590
0.85063,0.03616
0.85221,0.03642
0.85379,0.03668
0.85537,0.03694
0.85695,0.03721
0.85853,0.03748
0.86011,0.03774
0.86169,0.03801
0.86326,0.03829
0.86484,0.03856
0.86642,0.03884
0.86800,0.03911
0.86958,0.03939
0.87116,0.03967
0.87273,0.03996
0.87431,0.04024
0.87589,0.04053
0.87747,0.04082
0.87904,0.04111
0.88062,0.04140
0.88220,0.04170
0.88377,0.04199
0.88535,0.04229
0.88693,0.04259
0.88850,0.04290
0.89008,0.04320
0.89165,0.04351
0.89323,0.04382
0.89481,0.04413
0.89638,0.04445
0.89796,0.04476
0.89953,0.04508
0.90111,0.04540
0.90268,0.04573
0.90425,0.04605
0.90583,0.04638
0.90740,0.04671
0.90898,0.04704
0.91055,0.04738
0.91212,0.04771
0.91370,0.04805
0.91527,0.04839
0.91684,0.04874
0.91842,0.04908
0.91999,0.04943
0.92156,0.04979
0.92313,0.05014
0.92470,0.05050
0.92628,0.05086
0.92785,0.05122
0.92942,0.05158
0.93099,0.05195
0.93256,0.05232
0.93413,0.05270
0.93570,0.05307
0.93728,0.05345
0.93885,0.05383
0.94042,0.05422
0.94199,0.05461
0.94356,0.05500
0.94513,0.05539
0.94669,0.05579
0.94826,0.05618
0.94983,0.05659
0.95140,0.05699
0.95297,0.05740
0.95454,0.05781
0.95611,0.05823
0.95768,0.05865
0.95924,0.05907
0.96081,0.05949
0.96238,0.05992
0.96395,0.06035
0.96551,0.06078
0.96708,0.06122
0.96865,0.06166
0.97021,0.06211
0.97178,0.06256
0.97335,0.06301
0.97491,0.06347
0.97648,0.06393
0.97804,0.06439
0.97961,0.06486
0.98117,0.06533
0.98274,0.06580
0.98430,0.06628
0.98587,0.06676
0.98743,0.06725
0.98900,0.06774
0.99056,0.06824
0.99212,0.06873
0.99369,0.06924
0.99525,0.06974
0.99681,0.07026
0.99838,0.07077
0.99994,0.07129
1.01338,0.07596
1.01681,0.07721
1.02024,0.07849
1.02367,0.07979
1.02709,0.08112
1.03052,0.08247
1.03395,0.08386
1.03738,0.08527
1.04081,0.08672
1.04423,0.08819
1.04766,0.08970
1.05109,0.09125
1.05452,0.09283
1.05795,0.09444
1.06137,0.09610
1.06480,0.09779
1.06823,0.09952
1.07166,0.10130
1.07509,0.10312
1.07851,0.10498
1.08194,0.10689
1.08537,0.10886
1.08880,0.11087
1.09223,0.11294
1.09565,0.11506
1.09908,0.11725
1.10251,0.11949
1.10594,0.12180
1.10937,0.12418
1.11280,0.12662
1.11622,0.12915
1.11965,0.13175
1.12308,0.13443
1.12651,0.13720
1.12994,0.14005
1.13337,0.14301
1.13680,0.14606
1.14022,0.14922
1.14365,0.15249
1.14708,0.15588
1.15051,0.15940
1.15394,0.16305
1.15737,0.16684
1.16080,0.17078
1.16423,0.17489
1.16766,0.17916
1.17109,0.18361
1.17452,0.18825
1.17795,0.19310
1.18138,0.19817
1.18481,0.20348
1.18824,0.20903
1.19167,0.21485
1.19510,0.22096
1.19853,0.22737
1.20196,0.23410
1.20539,0.24118
1.20883,0.24863
1.21226,0.25647
1.21569,0.26473
1.21912,0.27342
1.22255,0.28256
1.22598,0.29218
1.22942,0.30229
1.23285,0.31291
1.23628,0.32405
1.23971,0.33569
1.24315,0.34785
1.24658,0.36051
1.25001,0.37365
1.25345,0.38723
1.25688,0.40124
1.26031,0.41562
1.26375,0.43033
1.26718,0.44532
1.27062,0.46053
1.27405,0.47593
1.27749,0.49147
1.28092,0.50709
1.28436,0.52276
1.28779,0.53844
1.29123,0.55410
1.29466,0.56971
1.29810,0.58525
1.30154,0.60069
