wl,n
1.563,1.83933
1.564,1.83931
1.565,1.83929
1.566,1.83928
1.567,1.83926
1.568,1.83925
1.569,1.83923
1.570,1.83922
1.571,1.83920
1.572,1.83919
1.573,1.83917
1.574,1.83916
1.575,1.83914
1.576,1.83913
1.577,1.83912
1.578,1.83910
1.579,1.83909
1.580,1.83908
1.581,1.83906
1.582,1.83905
1.583,1.83904
1.584,1.83902
1.585,1.83901
1.586,1.83900
1.587,1.83898
1.588,1.83897
1.589,1.83896
1.590,1.83894
1.591,1.83893
1.592,1.83892
1.593,1.83890
1.594,1.83889
1.595,1.83888
1.596,1.83886
1.597,1.83885
1.598,1.83883
1.599,1.83882
1.600,1.83881
1.601,1.83879
1.602,1.83878
1.603,1.83876
1.604,1.83875
1.605,1.83874
1.606,1.83872
1.607,1.83871
1.608,1.83869
1.609,1.83868
1.610,1.83866
1.611,1.83865
1.612,1.83863
1.613,1.83862
1.614,1.83860
1.615,1.83859
1.616,1.83857
1.617,1.83856
1.618,1.83854
1.619,1.83853
1.620,1.83851
1.621,1.83850
1.622,1.83848
1.623,1.83847
1.624,1.83845
1.625,1.83844
1.626,1.83842
1.627,1.83841
1.628,1.83839
1.629,1.83838
1.630,1.83836
1.631,1.83835
1.632,1.83833
1.633,1.83832
1.634,1.83830
1.635,1.83829
1.636,1.83827
1.637,1.83826
1.638,1.83825
1.639,1.83823
1.640,1.83822
1.641,1.83820
1.642,1.83819
1.643,1.83817
1.644,1.83816
1.645,1.83814
1.646,1.83813
1.647,1.83812
1.648,1.83810
1.649,1.83809
1.650,1.83807
1.651,1.83806
1.652,1.83804
1.653,1.83803
1.654,1.83801
1.655,1.83800
1.656,1.83798
1.657,1.83797
1.658,1.83796
1.659,1.83795
1.660,1.83793
1.661,1.83792
1.662,1.83791
1.663,1.83790
1.664,1.83788
1.665,1.83787
1.666,1.83785
1.667,1.83784
1.668,1.83782
1.669,1.83781
1.670,1.83779
1.671,1.83778
1.672,1.83776
1.673,1.83775
1.674,1.83773
1.675,1.83772
1.676,1.83770
1.677,1.83769
1.678,1.83767
1.679,1.83766
1.680,1.83764
1.681,1.83763
1.682,1.83761
1.683,1.83760
1.684,1.83758
1.685,1.83757
1.686,1.83756
1.687,1.83754
1.688,1.83753
1.689,1.83751
1.690,1.83750
1.691,1.83749
1.692,1.83747
1.693,1.83746
1.694,1.83745
1.695,1.83744
1.696,1.83742
1.697,1.83741
1.698,1.83740
1.699,1.83739
1.700,1.83737
1.701,1.83736
1.702,1.83734
1.703,1.83733
1.704,1.83731
1.705,1.83730
1.706,1.83729
1.707,1.83727
1.708,1.83726
1.709,1.83725
1.710,1.83723
1.711,1.83722
1.712,1.83721
1.713,1.83719
1.714,1.83718
1.715,1.83717
1.716,1.83716
1.717,1.83714
1.718,1.83713
1.719,1.83712
1.720,1.83710
1.721,1.83709
1.722,1.83707
1.723,1.83706
1.724,1.83705
1.725,1.83703
1.726,1.83702
1.727,1.83700
1.728,1.83699
1.729,1.83698
